"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Indexability","Indexability Status"
"https://www.how-ma.com/mag/","2","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。","78","921","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","Indexable",""
"https://www.how-ma.com/mag/category/special/","0","","0","0","","0","0","Indexable",""
"https://www.how-ma.com/mag","2","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。","78","921","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","Non-Indexable","Canonicalised"
"https://www.how-ma.com/mag/page/2/","2","「家を売る」「いつか売る」「もしかしたら売る」に役立つ情報、不動産の相場レポートや売買契約の詳細、売却時の注意点などを中心に住まいの売買に関わる情報を発信。 - 2ページ目","86","993","AI査定のHowMaが運営、不動産売買ノウハウや最新情報をプロ視点で執筆するWebマガジン","45","511","Indexable",""
"https://www.how-ma.com/otoiawase/new","0","","0","0","","0","0","Non-Indexable","noindex"
"https://www.how-ma.com/privacy","0","","0","0","","0","0","Non-Indexable","noindex"
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-41/","1","3,300万円で買った浅草ワンルームが、わずか5年で4,000万円に。「まさか上がるとは思わなかった」と語る杉山様は、AI査定をきっかけに売却を決意。6社の査定を比較し、強引な営業を断り、自分のペースで売却成功へ。“AI査定が判断軸になった”リアルな体験談です。","131","1449","","0","0","Indexable",""
"https://www.how-ma.com/mag/interview/completion-of-sale-interview-45/","1","5年前に買った3LDK。子どもと犬2匹が増えて手狭になり、試しにAI査定をしてみると購入価格よりも高い金額が。一括査定で分かった6社の熱意と査定スタンスの違いに驚きつつも、AI査定も参考にチャレンジ価格を決めて、売却成功。内覧対応で苦労したことや、HowMaを使ってよかったこと・改善点までを率直に伺いました。","155","1725","","0","0","Indexable",""
"https://www.how-ma.com/mag/category/interview/assessment-interview/","0","","0","0","","0","0","Indexable",""
"https://www.how-ma.com/","1","日本全国のマンション・土地・戸建の大量の不動産相場情報を常時収集。AIを活用して不動産の価格を査定。地域事情や市場トレンドを考慮した「コラボ査定」を開発。チャレンジ・安全・AI価格と専用チャットであなたの不動産を高く早く売るために強力にサポートします。","126","1457","","0","0","Indexable",""
"https://www.how-ma.com/mag/authors/","2","HowMa(ハウマ)マガジンは、「家を売る、いつか売るに備える」をコンセプトとしたWEBメディアです。宅建士・不動産鑑定士を含む4名で運営しています。各々の仲介経験や売買経験を通して得た知見や裏話、売主様へのインタビューを通して分かったことを、素直にまるっとお届けします。","136","1507","HowMa(ハウマ)マガジンは、宅建士・不動産鑑定士を含む4名で運営しています。","40","437","Indexable",""
"https://www.how-ma.com/mag/sell/completion-of-sale-interview-47/","0","","0","0","","0","0","Indexable",""
"https://www.how-ma.com/mag/category/news/","0","","0","0","","0","0","Indexable",""
